"id","name","meaning","start_pos","end_pos","assumed_comma","type","default_value","cnab_line_id/id","notes","sending_dynamic_content","content_source_field","return_dynamic_content","content_dest_field","cnab_group_id/id"
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_1_3","CODIGO DO BANCO","CODIGO DO BANCO NA COMPENSACAO","1","3","0","num","001","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_4_7","LOTE DE SERVICO","NUMERO DO LOTE","4","7","0","num","0000","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_8_8","TIPO DE REGISTRO","TIPO DE REGISTRO","8","8","0","num","0","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_9_17","BRANCOS","USO EXCLUSIVO FEBRABAN","9","17","0","alpha","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_18_18","TIPO INSCRICAO","TIPO DE INSCRICAO DA EMPRESA","18","18","0","num","2","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","1=CPF 2=CNPJ","","","company_id.is_company","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_19_32","NUMERO INSCRICAO","NUMERO DE INSCRICAO DA EMPRESA","19","32","0","num","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","company_id.cnpj_cpf","","cnpj_cpf",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_33_41","CONVENIO BB1","NUMERO DO CONVENIO","33","41","0","num","000000000","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","cnab_config_id.cnab_company_bank_code","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_42_45","CONVENIO BB2","CODIGO DO CONVENIO","42","45","0","num","0126","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_46_50","BRANCOS","USO EXCLUSIVO FEBRABAN","46","50","0","alpha","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_51_52","PRODUCAO/TESTE","EM PRODUCAO = BRANCOS / EM TESTE = 'TS'","51","52","0","alpha","  ","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_53_57","AGENCIA","AGENCIA MANTENEDORA DA CONTA","53","57","0","num","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","company_partner_bank_id.bra_number","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_58_58","DIGITO AGENCIA","DIGITO DA AGENCIA","58","58","0","num","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","company_partner_bank_id.bra_number_dig","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_59_70","CONTA","NUMERO DA CONTA CORRENTE","59","70","0","num","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","company_partner_bank_id.acc_number","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_71_71","DIGITO CONTA","DIGITO DA CONTA","71","71","0","num","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","company_partner_bank_id.acc_number_dig","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_72_72","DIGITO AG/CONTA","DIGITO AGENCIA/CONTA","72","72","0","alpha","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_73_102","NOME EMPRESA","NOME DA EMPRESA","73","102","0","alpha","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","company_id.legal_name","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_103_132","NOME BANCO","NOME DO BANCO","103","132","0","alpha","BANCO DO BRASIL","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_133_142","BRANCOS","USO EXCLUSIVO FEBRABAN","133","142","0","alpha","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_143_143","COD REMESSA","CODIGO REMESSA/RETORNO","143","143","0","num","1","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","1=Remessa 2=Retorno","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_144_151","DATA GERACAO","DATA DE GERACAO DO ARQUIVO","144","151","0","num","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","DDMMAAAA","time.strftime(""%d%m%Y"")","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_152_157","HORA GERACAO","HORA DE GERACAO DO ARQUIVO","152","157","0","num","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","HHMMSS","time.strftime(""%H%M%S"")","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_158_163","NUMERO ARQUIVO","NUMERO SEQUENCIAL DO ARQUIVO","158","163","0","num","000001","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","seq_record_detail","","","seq_number",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_164_166","VERSAO LAYOUT","VERSAO DO LAYOUT DO ARQUIVO","164","166","0","num","081","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_167_171","DENSIDADE","DENSIDADE DE GRAVACAO","167","171","0","num","01600","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_172_191","BRANCOS","USO EXCLUSIVO FEBRABAN","172","191","0","alpha","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_192_211","BRANCOS","USO EXCLUSIVO FEBRABAN","192","211","0","alpha","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_header_212_240","BRANCOS","USO EXCLUSIVO FEBRABAN","212","240","0","alpha","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header_1_3","CODIGO DO BANCO","CODIGO DO BANCO NA COMPENSACAO","1","3","0","num","001","l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header","","","company_partner_bank_id.bank_id.code_bc","","partner_bank_code",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header_4_7","LOTE DE SERVICO","NUMERO DO LOTE","4","7","0","num","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header","","seq_batch","","","batch_code",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header_8_8","TIPO DE REGISTRO","TIPO DE REGISTRO","8","8","0","num","1","l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header_9_9","TIPO DE OPERACAO","TIPO DA OPERACAO","9","9","0","alpha","C","l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header","C=CREDITO","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header_10_11","TIPO DE PAGAMENTO","FORMA DE PAGAMENTO","10","11","0","num","98","l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header","20=Pagar Fornecedor 30=Salário 98=Diversos","payment_way_code","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header_12_13","FORMA DE PAGAMENTO","FORMA DE PAGAMENTO","12","13","0","num","01","l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header","01=Credito em Conta 41=TED Outra Titularidade","payment_way_code","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header_14_16","LAYOUT DO LOTE","VERSAO DO LAYOUT DO LOTE","14","16","0","num","030","l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header_17_17","BRANCOS","USO EXCLUSIVO FEBRABAN","17","17","0","alpha","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header","","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header_18_18","TIPO INSCRICAO","TIPO DE INSCRICAO DA EMPRESA","18","18","0","num","2","l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header","1=CPF 2=CNPJ","","","","",""
"l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header_19_32","NUMERO INSCRICAO","NUMERO DE INSCRICAO DA EMPRESA","19","32","0","num","","l10n_br_cnab_structure_payment_bb.cnab_bb_240_pagamentos_header","","","company_id.cnpj_cpf","","cnpj_cpf",""
