"id","code","description","batch_id/id","cnab_structure_id/id","clearinghouse_code"
"cnab_santander_240_pay_way_01","01","Crédito em Conta Corrente",,"cnab_santander_240",
"cnab_santander_240_pay_way_03","03","Transferências para outros bancos (DOC, TED CIP e TED STR)",,"cnab_santander_240",
"cnab_santander_240_pay_way_05","05","Crédito em Conta Poupança",,"cnab_santander_240",
"cnab_santander_240_pay_way_10","10","Ordem de Pagamento / Recibo",,"cnab_santander_240",
"cnab_santander_240_pay_way_11","11","Pagamento de Contas e Tributos com Código de Barras¹",,"cnab_santander_240",
"cnab_santander_240_pay_way_16","16","DARF Normal – sem código de barras",,"cnab_santander_240",
"cnab_santander_240_pay_way_17","17","GPS - Guia da Previdência Social – sem código de barras",,"cnab_santander_240",
"cnab_santander_240_pay_way_20","20","Caixa “Autenticação”",,"cnab_santander_240",
"cnab_santander_240_pay_way_22","22","GARE SP ICMS – sem código de barras",,"cnab_santander_240",
"cnab_santander_240_pay_way_23","23","GARE SP DR – sem código de barras",,"cnab_santander_240",
"cnab_santander_240_pay_way_24","24","GARE SP ITCMD – sem código de barras",,"cnab_santander_240",
"cnab_santander_240_pay_way_25","25","IPVA SP e MG – Pagamento com o RENAVAM",,"cnab_santander_240",
"cnab_santander_240_pay_way_26","26","LICENCIAMENTO SP e MG – Pagamento com o RENAVAM",,"cnab_santander_240",
"cnab_santander_240_pay_way_27","27","DPVAT SP e MG – Pagamento com o RENAVAM",,"cnab_santander_240",
"cnab_santander_240_pay_way_30","30","Liquidação de títulos em carteira de cobrança próprio Santander",,"cnab_santander_240",
"cnab_santander_240_pay_way_31","31","Liquidação de títulos outros Bancos",,"cnab_santander_240",
"cnab_santander_240_pay_way_35","35","Ordem de Crédito por Teleprocessamento – OCT",,"cnab_santander_240",
"cnab_santander_240_pay_way_45","45","Pix Transferência – Obrigatório o preenchimento dos Segmentos A e B, Segmento C em caso de conta pagamento.",,"cnab_santander_240","9"
